,text,label
0,도태한남,1
1,한녀랑 엮이면 무조건 피해본다,1
2,새벽에 올라온 일본가서 똥싼 한녀 썰,1
3,국제사랑갤은 남성전용갤임,0
4,외녀들 왜케 착해보이냐 gif,1
5,노괴들 슬슬 일어날 시간이네,1
6,주갤  머 별거인나,0
7,ㄹㅇ 실베조작단 언제쯤 없어지냐,0
8,ㅋㅋㅋ 임나민국 시마이라구요?ㅋㅋㅋ,0
9,주갤러처럼 못생긴 애들이 머리도 멍청하더라,0
10,의대증원 근거=한녀때문 ㅋㅋ,1
11,노괴들 나중에 식당일할때,1
12,주갤 네임드인 번뇌왕갤도 털리는데,0
13,근데 내가 여자였어도 한남 호구 한 명 물어서 취집했을듯,1
14,한녀들 그렇게 쳐먹으니 똥을 코끼리마냥 싸지르지 ㅋ,1
15,한녀똥튀기하니 친구 전여친썰 생각나네,1
16,화이트데이도 공실되면,0
17,이번에 편의점 직원에게 욕한거 10대라는데?,0
18,한녀들 야외 똥싸는게 스캇플이야? 수치플이야?,1
19,국제결혼하면 와이프는 가정주부 시킬거임,0
20,요즘 노괴들 소비력 떨어져서 허접 됐잖아,1
21,우리나라 시마이 ㅋㅋㅋㅋㅋㅋ ㅠㅠㅠ,0
22,알파남은 한녀 똥 냄새 참는 남자를 말하는거네,1
23,공연장에서 똥싼건 니네 한녀인걸?^^,1
24,번뇌왕도 잠입노괴한테 털림,1
25,못생기면 주갤러처럼 글 싸지르는구나,0
26,난 그 콘서트장 똥테러 사건에서 한녀 반응이 존나 웃겼다,1
27,낙연이 관련주 이거 맞아?,0
28,한녀 : 레디투응아! 뿌직!,1
29,노괴가 먹은 갤 - 국사갤,1
30,얘들아 인생네컷 사건 공론화 안하면 우린 ㅈ된다.,0
31,"화교유전자에 의해 미남미녀 탄생하는건 나거한,베트남, 동일",0
32,선지피싸개가 똥(싸)개 저격 ㅋ,1
33,한녀 드디어 바닥 친거 같다 한녀 매수시점 알려준다,1
34,지년이 싼 똥... 벽에 똥칠할 년들 분명 생긴다...한녀는 답이없어,1
35,한녀혼대비 야즈벡 1/10 야트남 1/15 수준,1
36,선지피싸개가 똥개 저격 ㄷㄷㄷ,1
